iter	Passed	Remaining
531	22989	20224
532	23032	20180
533	23074	20136
534	23115	20091
535	23154	20044
536	23197	20001
537	23237	19954
538	23278	19909
539	23318	19864
540	23358	19818
541	23398	19772
542	23443	19730
543	23487	19687
544	23531	19645
545	23569	19598
546	23610	19553
547	23651	19508
548	23693	19464
549	23733	19418
550	23807	19400
551	23852	19358
552	23894	19314
553	23936	19269
554	23978	19225
555	24018	19180
556	24059	19135
557	24102	19091
558	24144	19048
559	24184	19002
560	24225	18957
561	24266	18912
562	24309	18869
563	24353	18826
564	24394	18781
565	24434	18736
566	24476	18692
567	24515	18645
568	24557	18601
569	24600	18558
570	24640	18512
571	24682	18469
572	24723	18424
573	24781	18391
574	24824	18348
575	24866	18304
576	24910	18261
577	24951	18216
578	24992	18172
579	25035	18129
580	25077	18085
581	25119	18040
582	25162	17997
583	25203	17953
584	25248	17911
585	25288	17866
586	25330	17822
587	25369	17775
588	25410	17731
589	25454	17688
590	25497	17645
591	25536	17599
592	25577	17554
593	25618	17510
594	25662	17467
595	25702	17422
596	25747	17380
597	25788	17335
598	25826	17289
599	25868	17245
600	25911	17202
601	25952	17158
602	25993	17113
603	26032	17067
604	26074	17023
605	26113	16978
606	26157	16935
607	26197	16890
608	26237	16845
609	26277	16800
610	26320	16757
611	26361	16713
612	26405	16670
613	26496	16657
614	26548	16619
615	26591	16576
616	26635	16533
617	26677	16489
618	26718	16445
619	26759	16400
620	26799	16356
621	26841	16311
622	26914	16286
623	26982	16258
624	27027	16216
625	27068	16171
626	27109	16127
627	27152	16084
628	27195	16040
629	27237	15996
630	27277	15951
631	27330	15914
632	27370	15869
633	27412	15824
634	27453	15780
635	27492	15734
636	27532	15689
637	27575	15646
638	27615	15601
639	27656	15556
640	27698	15513
641	27738	15467
642	27778	15422
643	27819	15378
644	27859	15333
645	27898	15288
646	27941	15244
647	27980	15199
648	28022	15155
649	28065	15112
650	28105	15067
651	28146	15022
652	28186	14978
653	28227	14934
654	28270	14890
655	28309	14845
656	28348	14799
657	28390	14755
658	28429	14710
659	28469	14665
660	28510	14621
661	28565	14585
662	28607	14541
663	28647	14496
664	28688	14452
665	28734	14410
666	28773	14365
667	28815	14321
668	28855	14276
669	28897	14232
670	28938	14188
671	28983	14146
672	29025	14102
673	29066	14058
674	29107	14014
675	29161	13976
676	29213	13938
677	29254	13893
678	29295	13849
679	29338	13806
680	29379	13761
681	29420	13717
682	29463	13675
683	29502	13630
684	29542	13585
685	29581	13540
686	29624	13496
687	29665	13452
688	29712	13411
689	29755	13368
690	29793	13322
691	29832	13278
692	29870	13232
693	29911	13188
694	29987	13159
695	30027	13115
696	30067	13071
697	30107	13026
698	30150	12983
699	30191	12939
700	30233	12895
701	30274	12851
702	30313	12806
703	30354	12762
704	30395	12718
705	30434	12673
706	30476	12630
707	30517	12586
708	30559	12542
709	30600	12498
710	30641	12454
711	30680	12410
712	30723	12366
713	30763	12322
714	30804	12278
715	30844	12234
716	30886	12190
717	30927	12146
718	30966	12102
719	31005	12057
720	31045	12013
721	31084	11968
722	31143	11931
723	31183	11887
724	31224	11843
725	31264	11799
726	31304	11755
727	31346	11712
728	31406	11675
729	31448	11631
730	31488	11587
731	31529	11543
732	31568	11499
733	31608	11454
734	31654	11412
735	31695	11369
736	31735	11324
737	31777	11281
738	31815	11236
739	31854	11191
740	31897	11148
741	31937	11104
742	31982	11062
743	32023	11018
744	32069	10976
745	32112	10933
746	32154	10890
747	32194	10846
748	32234	10802
749	32277	10759
750	32317	10715
751	32359	10671
752	32401	10628
753	32442	10584
754	32482	10540
755	32522	10496
756	32564	10453
757	32606	10410
758	32646	10366
759	32686	10322
760	32725	10277
761	32766	10234
762	32839	10200
763	32882	10157
764	32923	10113
765	32963	10069
766	33003	10025
767	33046	9982
768	33086	9938
769	33129	9895
770	33169	9851
771	33208	9807
772	33250	9764
773	33291	9720
774	33330	9676
775	33369	9632
776	33414	9589
777	33455	9546
778	33494	9502
779	33559	9465
780	33613	9425
781	33656	9382
782	33697	9338
783	33739	9295
784	33782	9252
785	33824	9209
786	33864	9165
787	33904	9121
788	33944	9077
789	33987	9034
790	34029	8991
791	34072	8948
792	34113	8904
793	34152	8860
794	34193	8817
795	34236	8774
796	34277	8730
797	34317	8686
798	34356	8642
799	34397	8599
800	34437	8555
801	34477	8512
802	34528	8470
