iter	Passed	Remaining
827	2282	556
828	2284	553
829	2286	550
830	2288	547
831	2291	545
832	2293	542
833	2295	539
834	2297	536
835	2299	533
836	2301	530
837	2302	527
838	2306	525
839	2308	522
840	2310	519
841	2312	516
842	2313	513
843	2315	510
844	2317	507
845	2319	504
846	2322	501
847	2324	498
848	2326	496
849	2328	493
850	2330	490
851	2332	487
852	2334	484
853	2337	481
854	2339	478
855	2341	475
856	2343	473
857	2345	470
858	2347	467
859	2348	464
860	2350	461
861	2354	458
862	2355	455
863	2357	452
864	2359	450
865	2361	447
866	2363	444
867	2365	441
868	2368	438
869	2370	436
870	2373	433
871	2375	430
872	2376	427
873	2378	424
874	2380	421
875	2384	419
876	2386	416
877	2388	413
878	2390	410
879	2392	407
880	2394	404
881	2396	402
882	2399	399
883	2402	396
884	2405	394
885	2407	391
886	2410	388
887	2412	385
888	2416	383
889	2418	380
890	2421	377
891	2423	374
892	2425	372
893	2427	369
894	2430	366
895	2433	363
896	2434	361
897	2436	358
898	2438	355
899	2440	352
900	2442	349
901	2445	347
902	2447	344
903	2449	341
904	2451	338
905	2453	335
906	2455	332
907	2457	330
908	2459	327
909	2463	324
910	2465	322
911	2467	319
912	2470	316
913	2472	313
914	2474	311
915	2478	308
916	2480	305
917	2482	302
918	2484	300
919	2486	297
920	2488	294
921	2490	291
922	2493	289
923	2495	286
924	2497	283
925	2499	280
926	2501	277
927	2503	275
928	2505	272
929	2510	269
930	2512	267
931	2514	264
932	2516	261
933	2518	258
934	2520	256
935	2525	253
936	2527	250
937	2529	248
938	2531	245
939	2533	242
940	2535	239
941	2537	237
942	2540	234
943	2542	231
944	2544	228
945	2546	226
946	2548	223
947	2550	220
948	2552	217
949	2555	215
950	2557	212
951	2559	209
952	2561	206
953	2563	204
954	2564	201
955	2566	198
956	2568	195
957	2571	193
958	2574	190
959	2576	187
960	2579	185
961	2581	182
962	2583	179
963	2587	177
964	2591	174
965	2595	171
966	2599	169
967	2604	166
968	2607	164
969	2611	161
970	2618	159
971	2626	156
972	2630	154
973	2637	151
974	2641	149
975	2644	146
976	2650	143
977	2654	141
978	2657	138
979	2661	135
980	2665	133
981	2668	130
982	2671	127
983	2673	124
984	2675	122
985	2677	119
986	2683	116
987	2686	114
988	2690	111
989	2693	108
990	2697	106
991	2699	103
992	2702	100
993	2704	97
994	2706	95
995	2709	92
996	2712	89
997	2715	87
998	2718	84
999	2722	81
1000	2727	79
1001	2731	76
1002	2735	73
1003	2739	70
1004	2743	68
1005	2747	65
1006	2750	62
1007	2752	60
1008	2755	57
1009	2759	54
1010	2761	51
1011	2765	49
1012	2767	46
1013	2769	43
1014	2771	40
1015	2775	38
1016	2778	35
1017	2781	32
1018	2784	30
1019	2787	27
1020	2792	24
1021	2796	21
1022	2799	19
1023	2801	16
1024	2803	13
1025	2806	10
1026	2808	8
1027	2810	5
1028	2812	2
1029	2814	0
